"","SCHOOL_CODE","SCHOOL_NAME","AMPH_ID","AMPH_NAME","PROV_ID","PROV_NAME","REGION_NAME","URBAN_ZONE","AREA_CODE_M6","AREA_NAME_M6","BUREA_CODE","BUREA_NAME","SCHOOL_SIZE","thai_avg","soc_avg","eng_avg","math_avg","sci_avg","thai_sd","soc_sd","eng_sd","math_sd","sci_sd","thai_min","soc_min","eng_min","math_min","sci_min","thai_max","soc_max","eng_max","math_max","sci_max","com1"
"2898","1091012003","ควนกาหลงวิทยาคม""นิคมวัฒนา""","9103","ควนกาหลง","91","สตูล","ใต้","SUBURB","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",42.541666,32.5625,23.567708,19.84375,26.266666,11.415376,7.073737,5.266279,6.54325,7.401053,12.5,12,11.25,7.5,12,68.5,49,45,35,54.8,-0.38700499583079
"2899","1091012004","กำแพงวิทยา","9105","ละงู","91","สตูล","ใต้","SUBURB","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","L",48.216279,34.423255,26.529069,24.558139,28.308837,13.914388,5.692302,9.017622,12.737607,9.141119,19.5,20,8.75,5,13.6,82.5,50,66.25,87.5,70,0.767385856297167
"2900","1091012005","ทุ่งหว้าวรวิทย์","9106","ทุ่งหว้า","91","สตูล","ใต้","SUBURB","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",46.208333,34.833333,22.955729,25.625,26.6,12.589403,5.314421,5.64268,9.142961,6.445928,17,19,11.25,10,10.8,71,48,37.5,55,44.8,0.398961064391437
"2901","1091012007","สตูลวิทยา","9101","เมืองสตูล","91","สตูล","ใต้","URBAN","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","L",47.477832,34.783251,28.990147,27.697044,30.606896,13.512384,6.679306,10.117655,14.153821,9.323469,10.5,14,12.5,5,12.8,81.5,59,67.5,77.5,65.2,1.2965911809645
"2902","1091012008","ควนโดนวิทยา","9102","ควนโดน","91","สตูล","ใต้","SUBURB","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",40.335443,32.860759,23.449367,22.436708,26.151898,10.641964,5.990996,6.451545,9.920368,7.738854,20,20,10,7.5,8.4,73.5,48,38.75,60,47.2,-0.357555642170078
"2903","1091012009","สาครพิทยาคาร","9104","ท่าแพ","91","สตูล","ใต้","SUBURB","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",38.137931,31.965517,23.103448,21.206896,26.786206,12.600558,5.020528,4.31293,7.840563,7.100839,17.5,17,15,5,13.2,61.5,40,31.25,42.5,43.2,-0.609145068132874
"2904","1091012010","ละงูพิทยาคม","9105","ละงู","91","สตูล","ใต้","SUBURB","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",39.446236,31.053763,23.373655,20.32258,26.997849,13.452718,6.903897,8.437758,8.884154,6.842154,16.5,14,12.5,2.5,15.2,75,46,71.25,60,49.2,-0.664149947310129
"2905","1091012011","ท่าศิลาบำรุงราษฎร์","9106","ทุ่งหว้า","91","สตูล","ใต้","SUBURB","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",40.074074,30.111111,21.574074,19.166666,27.037037,14.01831,5.293835,4.377877,8.845379,7.874014,10,18,13.75,5,13.2,70.5,38,30,42.5,48.4,-0.901865822665699
"2906","1091012012","พิมานพิทยาสรรค์","9101","เมืองสตูล","91","สตูล","ใต้","URBAN","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",48.405882,35.145098,32.65625,30.323529,30.480314,12.932213,6.836359,12.603574,14.708549,8.15607,16,14,10,2.5,13.2,75.5,54,77.5,82.5,56.4,1.70790715297934
"2907","1116100004","วินิตศึกษา ในพระราชูปถัมภ์ฯ","1601","เมืองลพบุรี","16","ลพบุรี","กลาง","URBAN",NA,NA,"11","สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","XL",58.75326,36.945652,37.410326,38.5,32.273913,16.090423,7.60944,15.621046,23.358151,11.190202,16.5,13,10,5,9.6,88,62,86.25,100,78.8,3.35317830259247
